,0,1,2,3,4,5,6,7,8,9
0,966,1,1,0,1,4,3,1,2,1
1,0,1117,3,3,0,1,4,1,6,0
2,5,1,1001,3,3,0,3,6,9,1
3,2,0,4,984,0,6,1,6,3,4
4,1,0,1,1,948,2,9,3,2,15
5,2,0,0,9,1,873,4,1,1,1
6,3,2,3,1,2,5,941,0,1,0
7,0,4,7,3,1,0,0,1006,2,5
8,3,1,2,5,3,5,3,3,946,3
9,1,2,0,7,10,4,0,7,3,975
