,0,1,2,3,4,5,6,7,8,9
0,969,0,1,1,0,0,4,2,2,1
1,0,1127,1,2,0,0,1,1,3,0
2,3,2,1007,3,3,0,2,5,7,0
3,0,0,6,987,0,8,0,5,1,3
4,0,0,3,1,962,1,3,2,1,9
5,2,0,0,8,1,868,6,1,2,4
6,4,3,2,1,5,6,933,0,4,0
7,1,0,7,1,0,0,0,1014,2,3
8,4,1,4,6,4,4,2,6,941,2
9,2,2,0,3,11,3,1,11,0,976
