,0,1,2,3,4,5,6,7,8,9
0,962,0,1,2,2,1,8,1,1,2
1,0,1118,5,1,0,0,3,1,7,0
2,6,5,987,4,4,1,9,7,9,0
3,0,0,5,959,0,14,0,8,12,12
4,2,0,3,0,951,0,11,2,0,13
5,9,0,0,13,3,839,11,0,6,11
6,8,3,3,0,8,3,931,0,2,0
7,1,11,12,6,4,0,0,982,0,12
8,3,4,3,9,5,6,7,3,932,2
9,3,4,0,11,17,7,0,9,5,953
