,0,1,2,3,4,5,6,7,8,9
0,967,1,1,1,0,3,1,3,1,2
1,0,1125,4,0,0,0,1,1,4,0
2,3,3,998,5,2,1,4,9,6,1
3,0,2,7,959,0,9,0,7,20,6
4,1,0,0,0,969,0,5,3,1,3
5,3,1,0,7,1,858,6,1,12,3
6,6,3,1,1,13,6,921,1,6,0
7,0,4,9,1,2,2,0,1000,2,8
8,6,3,2,2,10,4,1,5,936,5
9,7,2,1,3,24,4,0,9,7,952
